defi_protocol,logic_addr,storage_addr,func_sign,platform,block_number,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x6fdde03,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x95ea7b3,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x18160ddd,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x23b872dd,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x30adf81f,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x313ce567,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x3144fdf6,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x3644e515,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x39509351,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x40c10f19,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x42966c68,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x4daff8a3,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x6817031b,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x70a08231,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x715018a6,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x79cc6790,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x7ecebe00,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x8da5cb5b,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x9043292a,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x95d89b41,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xa22b35ce,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xa457c2d7,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xa9059cbb,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xc18230ec,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xc5bc7002,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xd505accf,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xdd62ed3e,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xefa058b1,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xf2fde38b,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0xfbfa77cf,BSC,25270000,,,
MetaReserve,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,0x00000000,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x3fd2a45,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x6fdde03,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x95ea7b3,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x180b0d7e,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x18160ddd,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x1bd39674,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x1df4ccfc,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x23b872dd,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x2986c0e5,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x2b112e49,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x2b14ca56,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x2df75cb1,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x2e0f2625,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x2f34d282,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x313ce567,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x32424aa3,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x32b75683,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x33a581d2,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x37c9be87,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x39509351,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x3c8e556d,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x3eaaf86b,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x4a254dfe,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x4d709adf,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x58fa63ca,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x5a604c52,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x5ddb4ae2,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x6912652c,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x6ddd1713,BSC,25270000,,,
RingFi,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x021988d2c89b1A9Ff56641b2F247942358FF05c9,0x70a08231,BSC,25270000,,,
